subjnumb;mvliking;kidtrans;miniboxy;lthrbetr;secbiggr;safeimpt;buyhghnd;pricqual;prmsound;perfimpt;tkvacatn;noparkrm;homlrgst;envrminr;needbetw;suvcmpct;next2str;carefmny;shdcarpl;imprtapp;lk4whldr;kidsbulk;wntguzlr;nordtrps;stylclth;strngwrn;passnimp;twoincom;nohummer;aftrschl;accesfun;age;income;miles;numkids;female;educ;recycle
1;4;6;5;2;5;3;4;3;4;7;3;6;4;6;5;6;9;6;3;2;3;5;7;6;5;3;6;2;6;4;4;34;59;14;1;0;1;3
2;6;3;5;3;7;5;5;4;6;4;5;7;4;4;7;6;3;5;6;6;6;2;4;6;6;4;6;7;6;3;5;36;79;16;1;0;3;4
3;3;7;1;5;2;5;4;5;5;5;6;3;8;5;6;4;7;4;6;5;6;7;3;4;5;7;4;4;2;7;6;51;72;22;2;1;3;3
4;3;3;5;3;6;6;6;6;4;5;4;6;5;7;6;4;3;6;4;3;6;2;7;7;1;6;8;6;4;2;3;32;42;12;0;0;3;2
5;1;4;3;6;3;4;6;6;6;5;5;3;7;5;3;3;6;9;7;6;5;5;4;6;1;5;6;4;4;5;5;40;75;17;1;1;3;4
6;2;4;2;5;3;5;5;7;5;6;5;3;9;3;1;2;7;5;8;5;6;4;2;7;5;7;5;6;1;5;6;43;94;16;0;0;3;5
7;8;7;6;5;6;6;6;6;5;4;5;6;4;5;8;8;4;4;6;5;7;7;4;4;5;5;6;7;6;6;6;47;38;26;2;1;4;3
8;4;4;5;2;5;6;5;3;3;3;2;4;5;8;6;6;3;6;3;5;6;3;5;5;5;6;7;5;4;3;3;29;39;16;1;0;2;2
9;5;6;3;6;3;4;6;7;7;5;5;3;7;5;3;4;5;4;5;5;5;4;5;5;6;6;4;5;3;6;6;38;129;20;1;0;3;2
10;3;3;4;2;6;4;3;5;2;5;2;3;4;6;5;1;4;8;5;3;4;3;6;7;4;5;8;3;4;2;2;26;26;11;0;0;2;3
11;1;3;5;3;4;7;4;4;4;3;3;6;4;7;9;5;4;7;5;2;7;9;7;8;3;5;9;4;6;3;3;31;20;12;0;1;3;3
12;3;5;3;6;4;4;6;7;5;5;6;3;6;7;5;3;7;4;5;6;5;5;5;6;4;5;5;5;3;6;5;43;136;17;0;0;3;1
13;4;5;3;4;5;7;4;4;3;4;4;3;6;6;4;5;9;6;4;4;5;4;6;5;3;7;8;4;3;4;4;37;49;13;1;1;3;3
14;7;5;4;6;5;5;6;4;7;4;5;3;8;5;4;4;5;9;6;5;5;4;4;5;6;8;5;6;3;4;5;46;61;18;1;1;3;4
15;6;6;7;6;6;6;7;6;6;5;6;6;3;5;6;8;2;3;6;7;7;6;4;4;8;5;4;6;6;6;6;52;119;28;3;1;3;3
16;6;6;6;5;8;7;5;3;5;2;6;6;4;5;6;8;3;5;7;6;8;5;5;4;6;7;5;6;6;7;6;39;28;29;2;1;4;3
17;9;3;6;5;8;5;8;7;6;6;7;7;5;3;7;6;4;3;6;5;6;2;4;7;7;5;5;7;7;1;6;43;113;17;0;0;4;4
18;4;6;6;5;7;3;7;7;6;8;5;6;4;7;7;6;3;5;5;6;3;6;5;4;6;4;5;3;5;5;6;36;124;23;3;0;3;2
19;1;6;4;3;7;4;9;3;4;6;4;2;5;4;6;4;3;7;7;3;4;5;5;5;6;3;6;1;4;4;4;48;58;21;1;1;3;4
20;3;4;5;4;5;4;4;5;4;5;4;4;5;1;5;5;4;7;4;4;4;4;5;5;4;5;6;4;4;3;3;35;51;19;1;1;3;4
21;7;2;5;2;5;5;3;2;3;4;2;4;4;6;4;5;2;7;5;3;4;2;6;9;4;3;9;4;5;2;2;28;23;8;0;0;2;4
22;1;5;3;3;4;6;3;4;2;4;3;4;6;6;3;3;4;6;5;4;6;5;6;5;4;5;7;2;7;5;3;28;29;16;1;1;2;3
23;7;6;7;9;7;6;7;4;6;5;9;7;4;5;8;7;2;3;7;6;6;5;4;5;7;4;3;5;6;4;6;58;166;29;2;1;3;2
24;2;4;3;4;4;5;6;4;4;5;5;4;6;4;3;4;4;5;8;6;5;4;2;6;7;5;5;3;6;3;6;41;63;18;0;0;3;5
25;5;6;3;8;4;6;4;3;3;5;4;4;4;7;3;4;5;8;5;5;4;5;6;5;5;5;6;4;5;6;5;36;33;18;2;0;3;2
26;1;7;2;6;4;6;8;9;5;4;7;2;8;6;4;2;7;4;5;6;6;5;5;4;6;8;4;8;4;7;7;50;128;26;3;1;4;1
27;1;6;5;2;4;4;4;5;4;5;3;9;5;9;5;5;5;6;4;4;6;4;7;4;5;3;6;6;6;6;3;23;23;17;3;1;1;1
28;9;7;6;5;5;5;7;6;7;5;7;5;7;4;6;5;4;1;6;6;5;8;3;4;7;6;2;7;4;6;8;50;168;27;3;1;3;3
29;1;6;2;4;9;6;4;4;4;3;5;3;8;5;3;3;7;5;6;6;7;9;5;1;4;6;4;4;3;6;5;44;61;21;4;1;3;3
30;3;7;2;6;3;5;5;3;5;5;6;3;8;5;4;4;1;5;5;6;5;7;1;4;6;6;5;5;3;5;6;44;52;25;2;1;3;3
31;1;4;4;2;5;2;4;3;3;7;3;4;4;7;5;1;4;7;4;4;3;4;6;7;4;3;2;3;5;4;4;27;22;13;0;0;1;3
32;6;5;4;6;4;5;7;7;6;4;6;4;7;5;3;4;7;4;6;7;6;6;4;5;6;7;6;7;2;5;6;56;214;17;2;1;4;3
33;9;3;5;3;6;2;5;5;5;8;5;5;5;2;5;4;5;7;3;3;2;4;6;8;4;1;6;6;6;4;4;36;38;13;0;0;1;4
34;7;4;3;5;4;8;7;7;5;3;4;4;7;7;4;4;7;4;4;6;8;5;6;6;4;7;6;6;5;9;5;51;70;25;0;1;4;2
35;9;9;4;6;5;6;6;4;5;5;6;4;6;4;3;5;5;4;6;7;6;5;3;5;6;7;4;6;5;5;6;52;80;25;2;1;4;4
36;3;7;4;6;5;5;6;6;6;5;6;4;8;5;4;3;7;3;5;5;5;6;4;4;6;6;4;5;5;7;7;49;147;27;4;1;3;2
37;1;4;2;5;4;5;6;4;6;6;6;3;8;4;4;3;6;4;6;5;5;3;4;5;5;7;5;5;3;5;1;41;62;20;1;1;4;3
38;6;4;6;5;7;5;6;6;5;5;5;6;6;5;7;7;3;6;5;5;5;3;5;5;7;5;5;3;7;3;5;38;79;16;2;0;3;2
39;5;5;4;6;3;4;6;7;5;6;7;3;7;5;5;4;8;4;6;5;5;6;4;5;6;3;5;4;4;6;6;50;147;19;1;0;3;3
40;9;4;3;5;4;8;6;7;7;4;4;2;8;5;5;3;7;6;6;4;7;3;4;6;4;8;5;6;2;3;5;55;91;14;1;1;3;4
41;4;4;6;5;7;8;7;6;7;4;5;5;6;4;6;5;4;4;8;7;7;5;9;6;7;7;5;5;7;3;6;46;125;20;1;1;4;3
42;2;7;3;4;5;3;4;3;3;6;4;3;5;7;4;4;6;6;4;4;4;5;8;5;4;4;6;2;3;7;4;35;64;17;1;1;2;2
43;4;5;5;2;6;4;9;2;3;6;2;4;4;6;5;5;2;7;4;4;4;8;6;4;4;2;7;2;5;4;3;46;37;17;1;0;2;2
44;1;4;5;4;6;5;4;2;4;5;3;4;4;6;4;5;4;7;6;4;5;4;5;6;4;5;6;4;5;3;3;34;31;16;1;1;2;4
