Respondent,Brand,Filling,Natural ,Fibre,Sweet,Easy ,Salt ,Satisfying ,Energy ,Fun ,Kids ,Soggy,Economical,Health,Family,Calories,Plain,Crisp,Regular,Sugar,Fruit,Process,Quality,Treat,Boring,Nutritious
101,Weetbix,5,5,5,1,2,1,5,4,1,4,5,5,5,5,1,3,1,4,1,1,3,5,1,1,5
101,Special K ,1,2,2,1,5,2,5,1,1,5,3,5,2,5,1,5,5,1,2,1,5,2,1,1,3
103,Special K ,5,4,5,5,5,3,5,5,5,5,3,3,5,5,1,1,5,4,3,1,2,5,4,1,5
103,Cerola Muesli,5,5,5,3,5,2,5,5,5,5,3,3,5,5,1,1,1,4,2,5,2,5,5,1,5
104,Kellogg's Corn Flakes,4,5,3,2,5,2,5,4,5,5,1,5,5,3,3,1,5,3,1,1,3,5,5,1,4
104,Rice Bubbles,4,4,4,2,5,2,5,4,5,5,1,5,4,5,3,1,5,3,2,1,3,5,5,1,4
104,Special K ,4,4,3,2,5,1,5,5,5,5,1,5,5,5,3,1,5,3,2,1,3,5,5,1,4
105,Special K ,4,3,3,2,5,1,5,4,4,5,1,3,4,5,2,3,4,4,1,1,2,4,2,1,3
105,Rice Bubbles,4,3,3,2,5,1,5,4,4,5,1,3,4,5,2,3,4,4,1,1,2,4,2,1,3
105,Kellogg's Corn Flakes,4,3,3,2,5,1,5,4,4,5,1,3,4,5,2,3,4,4,1,1,2,4,2,1,3
106,Vitabrit,4,5,4,1,5,1,5,4,1,3,3,4,4,4,3,4,1,3,1,1,3,4,1,3,4
106,Weetbix,4,4,3,3,5,2,4,4,1,3,2,4,4,3,3,2,2,3,3,1,3,4,2,2,4
107,Cerola Muesli,4,4,4,5,5,4,4,4,3,4,1,1,3,5,4,3,3,2,4,3,3,2,3,2,3
107,Purina Muesli,4,4,4,5,5,3,4,4,2,5,1,1,3,5,4,3,4,2,4,3,3,2,3,2,3
108,Kellogg's Corn Flakes,4,4,3,4,6,4,6,4,5,6,2,4,4,6,4,2,6,3,4,2,6,5,6,2,4
108,All Bran,3,4,5,3,5,2,3,3,2,3,2,3,4,2,2,1,2,5,2,1,4,4,3,1,4
109,Rice Bubbles,3,2,1,3,5,2,4,2,3,5,1,5,3,5,3,3,4,1,2,1,1,4,4,1,1
109,NutriGrain,4,3,4,4,5,2,5,2,1,5,1,5,4,5,3,4,5,5,3,1,2,3,2,1,4
110,Vitabrit,5,3,4,2,5,2,5,5,2,5,3,5,5,3,2,2,2,4,1,1,3,5,1,3,5
110,Purina Muesli,3,4,3,4,5,4,5,3,3,1,4,1,3,1,5,3,3,4,5,3,5,4,3,1,3
111,Purina Muesli,4,4,4,3,5,2,5,4,2,3,3,4,4,3,3,3,2,4,4,3,3,3,2,1,3
111,All Bran,4,3,5,2,5,2,3,2,1,1,2,3,3,2,3,5,3,4,3,1,3,3,1,4,3
112,Sustain,5,5,5,3,5,1,4,5,3,1,1,1,5,3,3,1,3,3,1,3,3,5,4,1,4
112,Cerola Muesli,5,4,4,3,5,1,5,5,3,5,1,3,4,4,3,1,5,4,1,4,3,4,4,1,4
112,Special K ,5,5,5,4,5,1,5,5,2,3,1,3,4,4,2,2,2,4,2,3,3,4,4,1,4
113,Weetbix,4,4,4,3,5,2,4,4,1,4,4,4,4,4,3,4,1,3,2,1,3,4,2,3,3
114,Sustain,4,4,4,1,5,1,4,4,2,2,2,3,5,3,3,2,4,3,1,3,3,3,4,2,4
114,Special K ,3,3,4,1,5,1,3,3,2,2,3,3,3,3,2,2,3,2,1,1,3,3,2,2,2
114,Just Right,3,3,3,1,5,1,4,3,2,2,2,3,4,2,3,2,3,3,1,3,2,3,3,2,4
115,Special K ,3,4,3,2,5,2,3,3,2,5,1,3,3,5,2,3,4,3,2,1,3,5,3,1,3
115,NutriGrain,3,4,3,3,5,3,3,4,4,5,2,2,3,5,3,1,4,3,3,1,4,5,4,1,3
116,All Bran,5,4,5,1,5,2,5,5,2,1,1,3,5,3,2,3,4,5,2,1,3,5,2,4,5
116,Kellogg's Corn Flakes,5,4,3,2,5,2,5,5,5,5,1,4,4,5,4,1,5,4,3,1,4,5,5,1,3
117,Cerola Muesli,5,5,4,2,5,1,5,4,5,5,2,4,5,5,1,1,4,4,2,3,1,4,1,1,4
117,Sustain,4,4,4,2,5,1,5,4,5,3,4,4,5,5,1,4,3,5,1,4,1,4,1,1,4
118,Rice Bubbles,2,4,2,1,5,2,3,3,5,5,5,3,2,5,3,2,3,1,1,1,5,3,1,2,3
118,NutriGrain,4,3,4,5,5,3,4,4,4,5,1,2,3,4,5,1,5,2,3,1,1,3,4,1,4
120,Just Right,5,4,4,4,5,3,4,4,3,4,2,1,3,5,4,1,4,2,4,3,4,3,4,1,3
120,Komplete,4,4,3,4,4,3,4,3,3,3,4,1,3,4,4,1,4,2,4,4,5,3,4,1,3
121,Kellogg's Corn Flakes,4,5,2,3,5,2,5,3,2,5,5,4,4,5,3,5,1,3,3,1,3,3,3,1,3
